temperature_2m,relative_humidity_2m,cloud_cover_high,cloud_cover_mid,cloud_cover_low,surface_pressure,wind_gusts_10m,wind_direction_10m,wind_speed_100m,soil_moisture_100_to_255cm,target
30.0,73,98,5,11,1006.4,27.0,178,14.0,0.368,0
29.8,74,65,7,21,1005.7,24.1,182,10.4,0.368,0
29.4,76,60,18,18,1005.9,20.5,191,13.6,0.368,0
28.4,80,100,11,3,1006.8,21.2,241,6.0,0.368,1
28.0,83,100,0,1,1006.7,11.2,166,12.9,0.368,0
27.9,83,100,29,0,1007.9,12.2,190,12.6,0.368,0
27.6,84,99,0,3,1008.4,12.6,227,13.5,0.368,0
27.0,88,100,10,11,1009.9,12.6,270,15.2,0.368,0
26.8,90,68,10,6,1010.2,14.0,256,17.1,0.368,0
26.0,91,100,49,9,1010.2,31.3,235,28.9,0.368,1
25.6,92,100,16,0,1008.8,29.2,218,14.4,0.368,0
25.8,91,100,5,6,1008.8,19.1,225,17.8,0.368,0
25.2,95,100,100,0,1008.0,15.5,192,9.1,0.368,0
25.8,94,100,91,3,1008.1,6.5,204,9.1,0.368,1
25.7,95,100,2,2,1008.2,6.5,228,10.1,0.368,0
25.6,95,100,10,13,1008.5,6.8,243,7.9,0.368,0
26.6,91,100,9,20,1009.2,6.1,209,7.6,0.368,0
26.6,91,100,87,0,1010.0,10.4,60,6.6,0.368,1
27.6,88,100,99,0,1010.4,12.6,75,4.8,0.368,0
29.0,82,95,16,0,1010.0,13.7,107,4.1,0.368,0
30.8,72,100,37,22,1009.6,15.5,196,5.9,0.368,0
31.0,69,88,88,51,1009.2,20.2,220,7.1,0.368,0
31.0,69,30,97,30,1008.5,19.1,214,9.8,0.368,0
30.2,72,35,66,70,1007.3,22.0,215,8.8,0.368,1
30.4,73,9,55,37,1005.9,20.9,221,8.4,0.368,1
30.2,74,52,17,18,1005.3,17.3,227,8.7,0.368,0
29.7,75,84,99,45,1005.8,22.0,225,7.6,0.368,1
29.1,79,94,71,26,1006.2,15.1,189,12.7,0.368,0
28.5,81,94,100,4,1007.2,15.1,176,16.6,0.368,0
26.2,89,92,100,6,1008.8,14.0,283,11.3,0.368,1
26.0,89,100,100,4,1010.0,12.2,292,9.1,0.368,0
26.0,91,100,88,3,1010.7,10.4,285,11.3,0.368,1
26.0,91,100,100,0,1011.0,9.0,250,12.6,0.368,1
26.0,92,100,100,0,1010.5,8.3,256,8.9,0.368,1
26.0,92,100,100,0,1010.0,6.1,270,7.7,0.368,1
25.8,93,100,100,2,1009.3,6.5,276,7.7,0.368,1
25.7,94,100,100,4,1008.7,6.8,285,8.4,0.368,1
25.6,95,100,100,0,1008.2,6.8,315,5.1,0.368,0
26.0,91,99,100,0,1008.4,2.9,158,5.7,0.368,0
26.0,94,98,100,0,1008.7,2.5,99,5.0,0.368,0
26.5,92,98,100,6,1009.4,3.2,90,5.2,0.368,0
25.6,88,100,3,0,1009.2,10.4,230,5.4,0.368,0
27.1,82,100,0,0,1009.9,10.4,162,2.9,0.368,0
28.5,77,100,0,4,1009.9,16.6,196,8.0,0.368,0
29.9,71,100,1,100,1010.0,23.8,205,13.5,0.368,0
29.7,74,30,15,20,1009.8,24.5,199,13.4,0.368,0
30.4,73,1,10,19,1008.6,23.4,202,12.6,0.368,0
30.3,72,69,11,29,1007.2,25.2,199,13.4,0.368,1
30.2,73,98,4,2,1005.9,25.6,183,15.5,0.368,0
30.0,73,89,9,4,1005.8,30.6,178,20.9,0.368,0
29.5,75,85,5,0,1005.5,31.3,176,19.5,0.368,0
28.8,79,93,7,1,1006.2,28.8,185,22.1,0.368,0
28.2,82,83,16,2,1007.5,25.9,180,23.0,0.368,0
27.4,85,96,64,1,1008.4,16.6,238,17.7,0.368,0
27.2,86,99,100,0,1009.6,17.3,223,17.6,0.368,1
